ra_u,dec_u,fpeak_u,fint_u,designation,G_mag,R_mag,Jmag,Kmag,spectrum,redshift,Class,JNAME,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Hmag,RAdeg,DEdeg,errHalfMaj_x,errHalfMin_x,errPosAng_x,objID,mode,q_mode,class_x,SDSS12,m_SDSS12,flags,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,avg_zph,pmRA,e_pmRA,pmDE,e_pmDE,SpObjID,spType,spCl,subClass,angDist
154.014313,2.402106,9.41,9.21,J101603.47+022407.0,23.313,22.81521,19.198,16.906,0,0.0,no_obs,J101603.47+022407.0,0.112,0.105,87.0,15.019,14.45,11.918,8.263,,154.014231,2.402116,0.138,0.084,0.0,1237651736819335843,2,,3,J101603.41+022407.6,,105622137869144,2000.3401,1,24.924,1.174,23.412,0.324,21.976,0.146,21.681,0.165,20.529,0.235,,,,,,,,,,,0,,,,0.295626
154.173874,12.879611,1.53,1.2,J101641.71+125247.1,23.13673,22.191,19.022,16.976,GNIRS,0.0,no_obs,J101641.71+125247.1,0.235,0.219,96.0,15.299,14.022,10.295,8.109,,154.173783,12.879688,0.156,0.125,0.0,1237664131551986624,2,,3,J101641.70+125246.8,,2450547278080,2003.9821,3,24.76,1.222,23.274,0.363,21.608,0.13,20.624,0.088,19.634,0.147,,,,,,,,,,,0,,,,0.423965
154.265289,4.452942,1.65,1.08,J101703.59+042711.1,24.40999984741211,22.46500015258789,18.909,16.885,GNIRS,0.0,no_obs,J101703.59+042711.1,0.207,0.192,77.0,15.268,13.763,11.13,8.372,,154.264962,4.452723,0.125,0.115,0.0,1237654601565274837,1,,6,J101703.59+042709.8,,439804919681280,2001.1397,3,24.301,0.834,24.41,0.53,22.465,0.166,23.181,0.402,22.146,0.593,,,,,,,,,,,0,,,,1.413223
154.708221,-0.383667,4.56,4.32,J101849.87-002300.2,23.98900032043457,21.375,,16.902,0,0.0,no_obs,J101849.87-002300.2,0.282,0.254,85.0,15.28,14.737,12.098,8.547,,154.707991,-0.38361,0.077,0.067,0.0,1237654669737656805,1,+,3,J101849.91-002300.9,*,316728371450128,2001.1455,3,24.194,1.13,23.989,0.524,21.375,0.083,20.681,0.069,21.348,0.532,,,,0.32542,0.11513,0.41173,,,,,0,,,,0.851449
155.41304,9.089814,21.5,25.86,J102139.13+090523.0,23.22243,22.91184,18.935,16.83,041314,-1.0,?,J102139.13+090523.0,0.086,0.08,86.0,14.775,13.587,10.565,8.332,,155.413063,9.089676,0.126,0.105,90.0,1237660584445674571,1,,3,J102139.13+090522.8,,281543964623104,2002.9337,1,25.043,0.915,23.222,0.251,22.912,0.284,21.318,0.116,21.152,0.469,,,,0.35626,0.15776,0.62258,,,,,0,,,,0.501877
155.499054,-1.167369,502.46,511.19,J102159.77-011002.6,22.2,22.2,18.474,16.956,GNIRS,0.0,no_obs,J102159.77-011002.6,0.339,0.311,81.0,15.669,14.979,12.06,9.019,,155.499075,-1.167379,0.068,0.064,90.0,1237654668664242654,2,,3,J102159.77-011002.5,,105624251663120,2001.1455,3,22.817,0.491,22.366,0.154,21.608,0.106,20.358,0.057,19.893,0.152,,,,,,,,,,,0,,,,0.085096
155.723618,5.282714,1.17,0.76,J102253.69+051656.7,21.496000289916992,20.434999465942383,17.702,15.718,02252018mjg,0.586,QSO,J102253.69+051656.7,0.062,0.059,93.0,14.01,12.759,9.369,6.243,,155.723719,5.282396,0.033,0.027,90.0,1237654602639671614,1,+,3,J102253.69+051656.6,*,96972440136,2001.1397,3,22.552,0.375,21.496,0.065,20.435,0.036,19.335,0.021,19.279,0.069,,,,0.58096,0.0788,0.6129,-0.6,5.7,-14.8,5.7,0,,,,1.19999
156.810028,4.6516,1.16,1.38,J102714.39+043905.0,23.4105,22.44328,18.885,16.929,GNIRS,0.0,no_obs,J102714.39+043905.0,0.133,0.124,80.0,15.493,14.608,12.482,8.957,,156.810047,4.651366,0.142,0.137,90.0,1237654605861160036,1,,3,J102714.41+043904.9,,281543964754176,2001.1401,3,22.193,0.451,23.411,0.606,22.443,0.387,20.838,0.127,19.889,0.223,,,,0.81985,0.08959,0.69067,,,,,0,,,,0.846788
157.1427,3.184261,1.67,1.15,J102834.21+031103.2,23.64324,23.64258,18.572,16.235,042813,-1.0,?,J102834.21+031103.2,0.099,0.085,42.0,13.774,12.062,8.504,6.134,,157.142573,3.184345,0.216,0.204,0.0,1237654599955906571,1,+,6,J102834.21+031103.6,,72092847398064400,2001.1397,3,25.104,0.816,23.643,0.47,23.643,0.447,22.658,0.274,20.248,0.115,,,,,,,,,,,0,,,,0.547704
157.200974,-1.055861,10.42,17.61,J102848.22-010320.0,21.743999481201172,20.924999237060547,18.269,16.604,0,0.0,no_obs,J102848.22-010320.0,0.243,0.23,87.0,15.333,14.581,12.148,8.873,,157.200971,-1.055533,0.036,0.032,90.0,1237650372082598274,2,,6,J102848.23-010319.9,*,105553384701968,2000.116,3,22.516,0.269,21.803,0.062,20.934,0.047,20.431,0.045,19.848,0.099,,,,,,,,,,,0,,,,1.181534
