counter,RA,DEC,G_mag,R_mag,J_mag,K_mag,W1mag,W2mag,petro_g,petro_r,Fpk,Hpk,redshift,specObjID,class,U_mag,I_mag,Z_mag
109,22:12:54.72,-00:49:52.2,22.3034,22.9673,19.577742,18.63762,18.80808,18.855581,4.758581394195557,5.207859455108643,-999.0,-999.0,-999.0,NIRES080318,weak-det,25.752,20.149,19.632
214,23:41:46.54,-00:38:08.5,22.6612,21.3805,19.833729,18.774496,18.641905,18.64007,5.88582727432251,5.014975547790527,-999.0,-999.0,-999.0,0,none,,,
89,02:08:19.54,+00:52:57.8,22.9257,21.3742,19.66052,18.679695,17.81442,17.863415,4.271667743682862,6.511000053405762,-999.0,-999.0,2.055,NIRES092318,QSO?,21.957,19.868,19.744
97,02:18:32.57,+00:51:49.2,22.9512,21.3784,19.680748,18.73362,18.618752,18.715855,7.383158843994141,8.153387031555177,-999.0,-999.0,999.0,NIRES092218,?,24.927,21.344,21.541
230,23:51:34.41,+00:38:14.5,22.654,21.7743,19.58326,18.864212,19.024065,18.900663,7.687643211364747,6.16757341003418,-999.0,-999.0,-999.0,0,none,22.599,19.973,19.712
41,00:37:53.85,-00:51:52.3,22.1846,21.7524,18.755983,17.356277,15.874057,15.2813,4.490426307678223,4.547664081573487,-999.0,-999.0,0.860,TSPEC082718,QSO,22.123,20.676,19.742
31,00:24:03.57,-00:04:21.8,22.7103,21.4831,19.942816,18.641287,19.234577,18.920824,5.177280349731445,5.661057197570801,-999.0,-999.0,999.0,NIRES080418_0923,?,23.934,20.278,19.988
187,23:24:24.10,-00:51:16.1,22.9224,21.8431,19.901556,18.669817,17.476011,17.172007,3.2534093284606933,4.657434803009034,4.54,-999.0,-999.0,0,none,23.735,21.281,20.043
12,00:14:17.53,+00:46:14.3,23.4829,21.7386,20.134527,18.81685,18.401943,18.482817,4.666844078063965,6.753542953491212,-999.0,-999.0,-999.0,0,none,22.799,20.848,20.024
15,00:15:13.51,-00:32:59.1,22.5644,21.4342,19.459167,18.521544,17.394745,17.093983,5.240790596008301,4.6221516265869145,-999.0,-999.0,0.832,Gemini18B,QSO,23.552,20.38,19.627
