RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,H_mag,K_mag,W1mag,W2mag,SPEC_Z,SPEC_CLASS
24.86547661,-0.343904644,,23.021101,22.07392,20.931396,20.802353,20.735985,21.113886,,19.95658,19.923687,0.734818,GALAXY
18.67683029,0.36045751,23.1021,22.8584,22.0727,21.33,20.9877,,,,20.389896,20.505089,0.685244,GALAXY
23.55327797,0.063594051,,23.46009,22.070889,20.99663,20.22414,19.489126,19.006958,18.307669,17.769287,17.737452,0.879105,GALAXY
26.19641876,-0.222977236,,22.899532,22.051435,21.384432,20.794159,19.96923,19.687813,19.512762,18.596142,18.50233,0.797856,GALAXY
26.79570007,-0.443616956,,23.39749,22.03863,20.90246,20.350372,19.8886,19.5734,19.089432,19.224514,19.719715,0.6738281,GALAXY
352.2897339,-0.461269468,22.773382,22.454819,22.033129,21.230297,20.637901,20.742859,20.70181,20.267279,19.343323,19.71025,0.82,GALAXY
2.618749584,0.827784117,24.40368,23.172693,22.023766,21.07081,20.695042,20.42218,19.811768,19.499994,19.69968,19.385181,0.63,GALAXY
351.7170715,-0.00970215,22.690945,22.609478,22.021963,21.53936,21.143478,20.687508,20.007,19.453814,19.285769,19.67144,1.0761908,GALAXY
14.79035091,0.411371827,22.490799,22.950148,21.990496,21.165041,20.617945,20.111778,19.811686,19.847885,18.835825,18.7545,0.789705,GALAXY
15.03018951,-0.010339525,23.110361,22.805174,21.988169,20.94395,20.419506,20.097137,20.20703,19.450626,19.068073,19.384634,0.8100437,GALAXY
18.85623932,-0.093253508,23.111538,22.603415,21.971867,21.252542,20.838047,20.37437,19.9784,20.170671,18.919092,18.416893,0.883296,GALAXY
25.2312851,-0.335732937,23.97009,23.256207,21.969072,20.935408,20.64693,20.167006,19.97943,19.496038,19.582563,19.931753,0.6005086,GALAXY
14.5679388,-0.22694689,24.109673,22.931364,21.942759,21.273247,20.913883,20.6761,19.875769,19.696718,19.226532,19.191605,1.06234,GALAXY
25.63010406,-0.346768558,,23.185726,21.938078,20.913042,20.619602,20.011997,19.325022,18.969913,18.681526,18.584774,0.657018,GALAXY
27.40932846,-0.017409269,22.807487,22.290037,21.92649,21.168724,20.468704,20.020292,19.739552,19.516157,18.930477,19.188877,0.900606,GALAXY
25.52695465,0.21081093,23.421553,22.747398,21.924913,21.058414,20.375006,20.183516,19.94137,18.892097,,,0.907485,GALAXY
