counter,RA,DEC,G_MAG_AB,R_MAG_AB,Y_MAG_AB,J_MAG_AB,H_MAG_AB,K_MAG_AB,ch1_mag,ch2_mag,gj,rj,jk,rk,petro_g,petro_r,Fpk,Hpk,redshift,specObjID,class
202,23:31:33.21,-00:08:15.8,23.0142,21.3127,19.323694,19.105051,18.566893,17.942284,16.987457,16.546293,3.909149,2.207649,1.1627673,3.3704162,4.363405437469483,3.5503141593933107,-999.0,-999.0,-999.0,0,none
180,23:16:45.59,+00:50:42.7,23.021,21.3233,20.301716,19.655495,19.219265,18.586868,18.706934,18.64379,3.365505,1.6678045,1.0686263,2.7364306,4.780274276733398,5.017327583312989,-999.0,-999.0,-999.0,0,none
5,00:00:35.67,+00:57:16.6,22.5714,21.4646,19.758677,19.176252,18.59557,18.133766,17.54958,17.5643,3.395147,2.288347,1.0424861,3.330833,4.633912937164307,3.947581569671631,-999.0,-999.0,-999.0,0,none
236,23:55:45.45,-00:11:21.8,22.4901,22.6377,20.820984,20.213734,18.977888,18.047157,17.674706,17.11865,2.276367,2.4239652,2.1665764,4.5905414,3.339135509490967,3.3213626861572267,25.24,-999.0,2.53,Gemini,QSO
120,22:20:13.89,+00:11:48.0,23.0467,21.4978,20.421642,19.955538,19.343464,18.891333,19.3694,19.223328,3.0911615,1.5422628,1.064205,2.6064677,4.6600485534667975,3.6987669525146485,-999.0,-999.0,1.93?,NIRES092218,QSO?
47,00:48:58.08,-00:15:34.6,24.0693,21.428,20.205864,19.821133,19.118395,18.69751,18.420877,18.223461,4.2481666,1.6068666,1.1236228,2.7304893,0.0,14.167803955078126,-999.0,-999.0,999.0,NIRES092318,?
53,00:52:37.69,+00:22:34.7,23.4212,21.7223,19.89816,19.65363,18.786823,18.301104,17.348104,17.021675,3.7675703,2.06867,1.3525256,3.4211955,4.976294609069824,5.207859455108643,-999.0,-999.0,-999.0,0,none
161,22:53:00.94,+00:06:13.2,21.7819,20.8818,19.570599,18.756773,18.53533,17.888144,16.709618,16.375813,3.0251272,2.1250265,0.86862934,2.9936557,4.160851295471192,3.8158562507629394,-999.0,0.35,0.820,TSPEC082818,QSO
91,02:10:50.30,+00:09:36.3,23.5632,22.3757,20.619398,20.576773,19.54517,18.546062,17.060972,16.695597,2.986427,1.7989271,2.0307102,3.829637,3.9776380004882816,3.165592638015747,-999.0,-999.0,0.59,Gemini,QSO/AGN
75,01:59:07.42,-00:00:28.1,22.7116,21.8037,19.41448,18.999475,18.597271,18.190443,18.31191,18.279144,3.7121236,2.8042238,0.8090323,3.613256,6.788564414978028,5.680659381866455,-999.0,-999.0,999.0,TSPEC082918,NL??
223,23:47:46.28,+00:17:18.7,23.0721,21.4338,20.609291,19.83519,19.534754,18.58587,19.20618,19.183153,3.2369096,1.5986097,1.249319,2.8479285,6.643771476745606,6.1628685836792,-999.0,-999.0,-999.0,0,none
88,02:08:15.52,+00:24:20.6,22.1142,21.132,19.65821,19.566977,18.990438,18.530066,17.7003,17.527111,2.5472238,1.5650232,1.0369109,2.601934,5.42165185546875,3.7928563041687013,-999.0,-999.0,0.551,Gemini18B,QSO
175,23:08:31.85,-00:18:43.0,22.3634,20.7532,19.660273,19.131529,18.579233,18.049341,18.006533,17.978643,3.2318704,1.6216714,1.0821875,2.7038589,5.426617641448975,5.246018096923828,-999.0,-999.0,999.0,TSPEC082918,??
