,RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,H_mag,K_mag,W1mag,W2mag,class
602,14.32378674,0.024777416,19.953915,17.692736,16.479786,15.990347,15.691365,16.21155,15.980677,15.833555,15.698725,15.974508,faint_Galaxy
624,19.64327812,-0.162262708,18.379673,16.68086,15.82343,15.358294,15.101031,15.399309,15.119488,15.129395,15.201005,15.57456,faint_Galaxy
381,14.14271723,0.76158999,21.984945,20.888237,19.703794,19.068531,18.669266,18.412308,17.908669,17.729496,17.778084,18.010452,faint_Galaxy
574,353.2333984,0.03395592,19.34224,18.139723,17.410257,17.029526,16.764147,16.694529,16.529083,16.422796,16.695147,16.929962,faint_Galaxy
418,333.9633484,0.792343915,22.538845,20.647131,19.31086,18.757835,18.273066,17.91731,17.527443,17.142721,17.636503,17.624878,faint_Galaxy
306,25.47324562,0.241326571,22.068281,21.39342,20.2101,19.579481,19.253393,18.921156,18.675951,18.394165,18.534807,18.741827,faint_Galaxy
521,334.3487549,0.281226993,20.429115,19.413319,18.448587,18.073606,17.78289,17.453983,17.227825,16.946415,17.284113,17.142654,faint_Galaxy
479,334.7165527,-0.229120418,21.658644,19.974018,18.884333,18.502897,18.247185,17.886051,17.770767,17.525497,18.242527,18.412794,faint_Galaxy
321,334.0475464,0.53628087,21.891464,21.185661,20.098259,19.660282,19.284073,18.818233,18.496798,18.075153,18.433018,18.486687,faint_Galaxy
416,26.19728279,-0.15187718,20.671667,20.138248,19.331684,18.977734,18.60924,18.586475,18.296997,17.926939,18.127495,18.09604,faint_Galaxy
557,17.43661118,-0.332356632,21.053686,19.333988,17.863205,17.31016,16.999153,16.951391,16.670013,16.420475,16.722746,16.95251,faint_Galaxy
249,27.98694992,-0.564317226,21.563635,20.994438,20.678654,20.165703,19.806286,19.69657,19.598475,19.57981,18.916246,18.706448,faint_Galaxy
253,17.03656387,-0.258799076,22.158882,21.457054,20.658947,20.405045,20.115889,19.374071,19.64421,19.164846,19.823679,19.649578,faint_Galaxy
583,25.04406929,-0.000381,19.356724,18.031937,17.285975,16.887901,16.635223,16.59,16.41904,16.369333,16.691406,16.911427,faint_Galaxy
529,26.55350113,0.302770674,22.759382,20.090042,18.326546,17.643013,17.267986,17.242344,16.900227,16.652807,16.808445,17.032473,faint_Galaxy
272,16.67685318,0.198868155,21.940329,21.197529,20.492907,20.218985,20.121655,19.955788,19.550137,19.718527,19.40334,19.42466,faint_Galaxy
600,18.15784836,0.085558675,19.149336,17.38083,16.512375,16.09302,15.798841,15.746197,15.53127,15.580843,15.996946,16.341743,faint_Galaxy
596,334.3445435,0.352194577,19.038204,17.469166,16.671171,16.237946,15.938605,16.235264,15.992501,16.020039,16.00211,16.341866,faint_Galaxy
628,15.84466457,-0.46315676,18.388075,16.53557,15.667554,15.244745,14.92628,14.917682,14.672039,14.785311,15.167472,15.640266,faint_Galaxy
609,25.23380661,0.156946957,19.381111,17.402695,16.29709,15.840137,15.547698,16.05854,15.84155,15.749426,15.684975,16.002838,faint_Galaxy
571,9.743751463,0.957549883,19.77014,18.36279,17.45314,17.006794,16.697062,16.617191,16.376848,16.276867,16.694933,16.96368,faint_Galaxy
634,26.01055145,-0.118952148,17.7111,16.212975,15.46847,15.059072,14.796276,15.428328,15.223252,15.276988,14.854788,15.266026,faint_Galaxy
334,351.8435059,-0.808343709,22.038626,20.989979,19.99587,19.589125,19.273659,19.036093,18.744642,18.561857,19.163715,19.239874,faint_Galaxy
377,25.78147125,0.442309409,21.072987,20.525114,19.729757,19.505917,19.127136,18.968374,18.772242,18.593756,18.648624,18.589653,faint_Galaxy
469,14.11450195,-0.353191257,22.140987,20.393759,18.965008,18.385456,18.068106,17.695988,17.378166,17.081034,17.509573,17.517593,faint_Galaxy
505,27.28887177,-0.430334628,22.338839,20.335117,18.617296,18.049486,17.704863,17.617332,17.317411,17.090765,17.387554,17.511751,faint_Galaxy
415,20.96702385,0.626484632,21.869898,20.462223,19.352333,18.914242,18.608774,18.271193,18.041132,17.786795,18.596237,18.717205,faint_Galaxy
313,24.55472183,-0.164810717,22.497995,21.399284,20.1593,19.580406,19.24174,18.846287,18.508583,18.224184,18.369625,18.475815,faint_Galaxy
304,334.6845703,0.076742381,22.064528,21.453197,20.241026,19.813467,19.495382,19.124105,18.8135,18.736084,19.24359,19.28807,faint_Galaxy
244,27.37824249,-0.309908211,22.719004,21.72712,20.748909,20.072556,19.684847,19.236418,18.820555,18.351631,18.684599,18.917774,faint_Galaxy
570,16.8962822,-0.453327179,21.412418,18.972189,17.489437,16.928858,16.577965,16.676058,16.401073,16.179918,16.402994,16.609158,faint_Galaxy
266,19.21037865,-0.306776762,22.556988,21.65175,20.515224,19.735102,19.315723,18.992664,18.500372,18.307083,18.26076,18.581886,faint_Galaxy
444,356.0110692,0.292027036,20.567667,19.973013,19.172754,18.874363,18.596403,18.453018,18.208933,17.993023,18.40749,18.389568,faint_Galaxy
409,19.42974854,-0.189205274,23.47324,20.902594,19.398624,18.352345,17.928274,18.081533,17.468187,17.140041,16.855675,17.120113,faint_Galaxy
511,10.8746302,0.087539171,20.381084,19.433285,18.56853,18.246769,17.920248,17.604866,17.445303,17.167933,17.817598,17.67342,faint_Galaxy
419,25.52206421,-0.387362003,22.27902,20.652134,19.308846,18.753323,18.379341,17.947657,17.64061,17.357645,18.004929,18.175655,faint_Galaxy
371,352.6877441,-0.174167782,21.120945,20.555191,19.754011,19.35577,19.163155,19.064186,18.814629,18.351282,18.983936,18.929516,faint_Galaxy
413,354.6266904,0.417547266,20.825127,20.226297,19.35783,18.862562,18.509712,18.437014,18.112078,17.880718,17.693195,17.802876,faint_Galaxy
